periodo,fecha,Año,DimPD,Dolarizacion,IPD,IPD_proy,EMBI,DXY,IPC,BVL,Adopcion,DPS,MCS,DVS,CRS,DSS,PIS,IGS,DRIFT_T,DRIFT_R,DRIFT,Régimen
Ene.2018,,,0.48419150323811,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,80.0043099124884,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,36.08170733144598,,,Sin datos
Ene.2018,,,0.4811376804059147,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,76.85490858396312,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,34.821946800035875,,,Sin datos
Ene.2018,,,0.488221979068192,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,84.16093150822259,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,37.744355969739665,,,Sin datos
Ene.2018,,,0.4994805861124311,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,95.77191024891829,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,42.388747466017946,,,Sin datos
Ene.2018,,,0.48565464244907963,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,81.51324243020508,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,36.685280338532664,,,Sin datos
Ene.2018,,,0.486469958352004,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,82.35407607673065,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,37.02161379714289,,,Sin datos
Ene.2018,,,0.4973720296373131,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,93.59736020822928,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,41.518927449742336,,,Sin datos
Ene.2018,,,0.4908810425915606,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,86.90321835762379,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,38.841270709500144,,,Sin datos
Ene.2018,,,0.4924488571233232,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,88.52010232258674,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,39.488024295485324,,,Sin datos
Ene.2018,,,0.4958119262052061,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,91.98842868479099,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,40.875354840367024,,,Sin datos
